id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
38331705,210東京JR赤羽站步行4分池袋9分新宿14分上野10分 免费存行李箱！微：hefuyan7190,154507729,福艷,北区,35.7767601,139.7169598,建物全体,8571,3,25,2024-05-30,1.38,30,335,15,M130032469
38529665,"Shinjuku Direct, 5-Minute Station, Free WiFi",224529223,Hanako,北区,35.76561,139.72323,建物全体,44241,2,15,2024-06-28,0.26,2,288,7,Hotels and Inns Business Act | 東京都北区保健所 | 5 北健生環き第43号
39045523,Near station 6 min/Free wifi/Max 4 guests#104,253559407,Eri,北区,35.74782,139.74484,建物全体,19543,1,33,2024-05-29,0.59,28,112,7,M130020466
39061800,2min Komagome Sta | JR Yamanote Line | Max4 | WiFi,68939316,Scott,北区,35.73639,139.75113,建物全体,10214,2,21,2024-03-28,0.37,5,1,6,M130020308
39065042,Nearest Sta 2mins/Easy to Shinjuku&Tokyo Sta by JR,70438155,MingJuan,北区,35.73692,139.75162,建物全体,37921,2,14,2024-06-18,0.25,5,117,11,M130020308
39189248,Near station 6 min/Free wifi/Max 6 guests#303,253559407,Eri,北区,35.74981,139.74422,建物全体,9625,1,32,2024-06-04,0.56,28,105,11,Hotels and Inns Business Act | 東京都北区保健所 | ３北健生環き第３４号
39190078,Near station 6 min/Free wifi/Max 4 guests#304,253559407,Eri,北区,35.74951,139.74449,建物全体,8433,1,41,2024-06-05,0.72,28,85,10,Hotels and Inns Business Act | 東京都北区保健所 | ３北健生環き第３４号
39190529,Near station 6 min/Free wifi/Max 5 guests#305,253559407,Eri,北区,35.74945,139.7445,建物全体,9625,1,51,2024-06-11,0.90,28,107,7,Hotels and Inns Business Act | 東京都北区保健所 | ３北健生環き第３４号
39757532,山手線駒込駅から徒歩4分くつろげる空間402号室,301401183,金杉,北区,35.73623,139.7528,建物全体,,2,5,2021-07-23,0.09,6,0,0,M130020857
39758363,山手線駒込駅から徒歩4分、広々とした部屋601号室,301401183,金杉,北区,35.73659,139.75272,建物全体,,2,1,2020-01-02,0.02,6,0,0,M130020855
39824059,Design hotel near Ueno#Asakusa with 3 bedrooms,287720765,Naoki,北区,35.73885,139.7487,一般住宅個室,28857,1,66,2024-06-23,1.27,17,169,29,Hotels and Inns Business Act | 東京都北区保健所 | 31北健生環き第9号
39901765,Design hotel near Ueno#Asakusa with 3 bedrooms,287720765,Naoki,北区,35.73849908200681,139.74909317099167,一般住宅個室,35000,1,79,2024-06-23,1.48,17,148,35,Hotels and Inns Business Act | 東京都北区保健所 | 31北健生環き第9号
39902217,Design hotel near Ueno#Asakusa with 2 bedrooms,287720765,Naoki,北区,35.73972,139.74862,一般住宅個室,29571,1,80,2024-06-07,1.49,17,153,17,Hotels and Inns Business Act | 東京都北区保健所 | 31北健生環き第9号
39902644,Design hotel near Ueno#Asakusa with 2 bedrooms,287720765,Naoki,北区,35.74047,139.74996,一般住宅個室,27857,1,53,2024-06-24,1.00,17,167,29,Hotels and Inns Business Act | 東京都北区保健所 | 31北健生環き第9号
40043121,Miki Hall Akabane 205,308849237,Akio,北区,35.7771,139.72456,一般住宅個室,8957,3,21,2024-06-11,0.38,5,42,8,Hotels and Inns Business Act | 東京都北区保健所 | 23北健生環き第8号
40044675,Miki Hall Akabane 301,308849237,Akio,北区,35.77712,139.72455,一般住宅個室,8957,3,11,2024-05-16,0.23,5,39,7,Hotels and Inns Business Act | 東京都北区保健所 | 23北健生環き第8号
40127743,"Lovely,cozy,spacious 47㎡｜10min to Ikebukuro&Ueno",90143254,Moto&Ai,北区,35.77976,139.73029,建物全体,13714,1,91,2024-06-22,1.64,1,131,36,Hotels and Inns Business Act | 東京都北区保健所 | 31北健生環き第39号
40213906,Miki Hall Akabane 505,308849237,Akio,北区,35.77712,139.72455,一般住宅個室,8957,3,11,2024-04-01,0.37,5,45,5,Hotels and Inns Business Act | 東京都北区保健所 | 23北健生環き第8号
40214203,Miki Hall Akabane 601,308849237,Akio,北区,35.77712,139.72455,一般住宅個室,8957,3,18,2024-05-29,0.95,5,15,12,Hotels and Inns Business Act | 東京都北区保健所 | 23北健生環き第8号
40495086,✳︎Pika-chu House101✳︎2mins from JR Sta(with garden),116324472,Nikki,北区,35.74599,139.74919,建物全体,13729,1,119,2024-06-12,2.16,3,88,63,Hotels and Inns Business Act | 北区保健所 | 31北健生環き第43号
40551945,【Moomin house】1mins from JR Station,116324472,Nikki,北区,35.74735,139.74741,建物全体,14714,1,70,2024-06-11,1.27,3,56,48,Hotels and Inns Business Act | 東京都北区保健所 | 31北健生環き第43号
41073413,JR西日暮里山手线/交通便利/直达新宿秋叶原上野/可住7人,23992052,Ka,北区,35.73858,139.76896,建物全体,28330,1,37,2024-06-06,1.06,3,199,24,Hotels and Inns Business Act | 東京都北区保健所 | ５北健生環き第３１号
41094739,New JR山手線徒步3分、南北線5分鐘 ，上野、新宿、涉谷 直達 、電梯、獨立公寓,224250516,Sozo,北区,35.73992879281649,139.74776718442808,建物全体,16900,2,19,2024-06-02,2.41,9,149,19,Hotels and Inns Business Act | 東京都北区保健所 | 5北健生環き第62号
41443578,JR王子駅から徒歩3分、地下鉄駅から徒歩2分。新築、貸し切り,42808108,Mie,北区,35.75571,139.73593,建物全体,14000,3,3,2024-06-25,2.14,7,225,3,Hotels and Inns Business Act | 東京都北区保健所 | 5北健生環き第51号
41460328,山手線直达秋叶原交通便利/日式小别墅/高性價比/免费wifi,71920606,Heyao,北区,35.73906,139.7691,建物全体,26711,1,54,2024-06-09,1.25,16,189,21,Hotels and Inns Business Act | 東京都北区保健所 | ５北健生環き第３２号
41600947,friendly heights 302,287699302,Nana,北区,35.73617,139.75985,建物全体,7650,2,28,2024-06-13,0.52,7,267,16,M130022868
41601134,friendly heights 702,287699302,Nana,北区,35.73511,139.758,建物全体,7650,2,29,2024-05-15,0.54,7,317,12,M130022870
41601240,friendly heights 401,287699302,Nana,北区,35.7358,139.75797,建物全体,11802,2,41,2024-05-25,0.76,7,313,19,M130022869
41803970,nestay suite tokyo tabata 204,330316857,Hotel,北区,35.73679,139.76649,建物全体,21864,1,51,2024-05-13,0.95,12,123,19,M130023607
41805212,nestay suite tokyo tabata 201,330316857,Hotel,北区,35.73697,139.76428,建物全体,7057,1,21,2024-06-08,0.45,12,109,10,M130023604
41805355,nestay suite tokyo tabata 202,330316857,Hotel,北区,35.73721,139.76628,建物全体,7057,1,16,2024-04-14,0.32,12,109,12,M130023605
41841709,nestay suite tokyo tabata 302,330316857,Hotel,北区,35.73791,139.7663,建物全体,7057,1,25,2024-05-23,0.53,12,122,14,M130023609
41895178,JR 3 分池袋8分鐘/可直达上野/新宿/池袋/整套公寓2 个分离房间带厨房,224250516,Sozo,北区,35.737819475812195,139.7501043108753,建物全体,23949,2,43,2024-06-05,3.49,9,143,42,Hotels and Inns Business Act | 東京都北区保健所 | 5北健生環き第62号
41895182,東京JR山手線徒歩3分/整套公寓2个分离房间带厨房/電梯/直達六本木、銀座、新宿、上野、池袋,224250516,Sozo,北区,35.73838657934145,139.7492400823993,建物全体,25586,2,55,2024-06-24,3.81,9,91,48,Hotels and Inns Business Act | 東京都北区保健所 | 5北健生環き第62号
42284789,friendly heights 201,287699302,Nana,北区,35.73576,139.76011,建物全体,10744,2,28,2023-12-23,0.53,7,337,9,M130024255
42438524,2min->JR Akabane Sta/Single/NoSmoke/Breakfast,333026232,ホテルウィングインターナショナル 東京赤羽,北区,35.77825,139.71946,一般住宅個室,,1,0,,,16,83,0,Hotels and Inns Business Act | 東京都北区保健所長　前田秀雄 | 30北健生環き第56号
42438526,2min->JR Akabane Sta/Single/NoSmoke/NoMeal,333026232,ホテルウィングインターナショナル 東京赤羽,北区,35.77846,139.7195,一般住宅個室,13200,1,1,2023-07-18,0.09,16,85,1,Hotels and Inns Business Act | 東京都北区保健所長　前田秀雄 | 30北健生環き第56号
42438527,2min->JR Akabane Sta/Single/SmokeOK/Breakfast,333026232,ホテルウィングインターナショナル 東京赤羽,北区,35.7804,139.71942,一般住宅個室,,1,0,,,16,85,0,Hotels and Inns Business Act | 東京都北区保健所長　前田秀雄 | 30北健生環き第56号
